NAME,ADDRESS,CITY,STATE,ZIP5
"FOURTH STREET TOWERS, INC",543 3rd Ave,Columbus,GA,31901
"FULTON-ATLANTA CAA, INC",75 Piedmont Ave NE,Atlanta,GA,30303
"GEORGIA COMMUNITIES, INC",745 Ponce De Leon Ter NE,Atlanta,GA,30306
GREATER MACON HOUSING CORP,682 Cherry St,Macon,GA,31201
"GWINNETT HOUSING RESOURCE PARTNERSHIP, INC",575 Old Norcross Rd Ste A,Lawrenceville,GA,30046
"HABITAT FOR HUMANITY - NORTH FULTON, INC.",814 Mimosa Blvd,Roswell,GA,30075
"HAWKINS HOMES, INC.",2779 Clairmont Rd NE,Atlanta,GA,30329
HISTORIC DISTRICT DEVELOPMENT CORP,PO Box 3377,Atlanta,GA,30302
HOMEOWNERSHIP & PERSONAL ENRICHMENT,4005 Melvin Dr SW,Atlanta,GA,30331
"HOPE HOUSE, INC.",PO Box 3597,Augusta,GA,30914
HOUSING & ECONOMIC LEADERSHIP PARTNERSHIP,269 N Jackson St,Athens,GA,30601
HOUSING INITIATIVES OF NORTH FULTON,89 Grove Way,Roswell,GA,30075
"HOUSING OPPORTUNITY, INC.",308 Spring St SW,Gainesville,GA,30501
"INITIATIVE FOR AFFORDABLE HOUSING/DEKALB, INC.",PO Box 252,Tucker,GA,30085
INTERGENERATIONAL RESOURCE CENTER,444 Edgewood Ave SE,Atlanta,GA,30312
JC VISION AND ASSOCIATES,"135 E. MARTIN LUTHER KING, JR. DRIVE",HINESVILLE,GA,31313
Jubilee Financial Services,300 W Oglethorpe Blvd,Albany,GA,31701
LANEY WALKER DEVELOPMENT CORP,PO Box 336,Augusta,GA,30903
LAWRENCEVILLE HOUSING CORP. INC.,502 Glenn Edge Dr,Lawrenceville,GA,30046
"LYNWOOD PARK COMMUNITY PROJECT, INC.",PO Box 191726,Atlanta,GA,31119
Macon Area Habitat for Humanity,600 Holt Ave,Macon,GA,31204
MACON-BIBB HOUSING ASSOCIATION,148 State St,Macon,GA,31206
MANNA CHDO,1180 Bartlett St,Macon,GA,31204
MERCY HOUSING GEORGIA VIII,,ATLANTA,GA,30308
"MISSION OUTREACH CENTER, INC.",2115 S Madison St,Albany,GA,31701
"MT. OLIVE COMMUNITY OUTREACH CENTER, INC",302 Adkins St,Albany,GA,31705
National Community Resources & Development Inc,950 Eagles Landing Pkwy,Stockbridge,GA,30281
NEIGHBORHOOD HOUSING SERVICES,2425 Waters Ave,Savannah,GA,31404
"NEIGHBORHOOD IMPROVEMENT ASSOCIATION, INC.",2301 Bull St,Savannah,GA,31401
"NEIGHBORHOOD WORKS, INC.",560 Fayetteville Rd SE,Atlanta,GA,30316
"NEIGHBORHOOD WORKS, INC.",PO Box 831564,Stone Mountain,GA,30083
"NEIGHBORWORKS COLUMBUS, INC.",18 W 11th St,Columbus,GA,31901
NEW LEGACY COMMUNITY DEVELOPMENT CORPORATION,632 E Anderson St,Savannah,GA,31401
NEW TOWN FLORIST,1067 Desota St SE,Gainesville,GA,30501
"NEW TOWN FLORIST CLUB, INC.",1064 Desota St SE,Gainesville,GA,30501
New Visions Community Development,1506 S Slappey Blvd,Albany,GA,31701
NORTH GEORGIA COMMUNITY HOUSING DEVELOPMENT CORPORATION,814 Mimosa Blvd,Roswell,GA,30075
"OLD FOURTH WARD REDEVELOPMENT, INC",353 Boulevard NE,Atlanta,GA,30312
"PARTNERSHIP FOR COMMUNITY ACTION, INC.",3597 Covington Hwy,Decatur,GA,30032
"PARTNERSHIP HOUSING AFFORDABLE TO SOCIETY EVERYWHERE, INC.",211 W Alice St,Bainbridge,GA,39819
PEOPLESTOWN REVITALIZATION CORPORATION,1044 Washington St SW,Atlanta,GA,30315
"PHASE, INC.",PO Box 1214,Lake Park,GA,31636
PITTSBURGH COMMUNITY IMPROVEMENT ASSO,PO Box 11348,Atlanta,GA,30310
"PROGRESSIVE REDEVELOPMENT, INC",127 Peachtree St NE,Atlanta,GA,30303
PROJECT INTERCONNECTIONS INC.,2198 Dresden Dr,Atlanta,GA,30341
PROMISE LAND CDC,2409 Amsterdam Dr,Augusta,GA,30906
"QUALITY LIVING SERVICES, INC",PO Box 311045,Atlanta,GA,31131
QUEST 35 INC,PO Box 92208,Atlanta,GA,30314
QUEST COMMUNITY DEVELOPMENT ORGANIZATION INC,878 Rock St NW,Atlanta,GA,30314
RESOURCES FOR RESIDENTS & COMMUNITIES,100 Flat Shoals Ave SE,Atlanta,GA,30316
"RICE FAMILY FARMS CONSORTIUM, INC.",PO Box 42498,Atlanta,GA,30311
SAMS MEMORIAL COMMUNITY ECONOMIC DE,46 SMITH ROAD,CRESCENT,GA,31304
SAND HILLS NEIGHBORHOOD ASSOCIATION,2924 Henry St Apt C,Augusta,GA,30909
Sand Hills Urban Development,3062 Damascus Rd,Augusta,GA,30909
SCOTTDALE COMMUNITY PLANNING,3262 Chapel St,Scottdale,GA,30079
SOUTH ATLANTA COMMUNITY DEVELOPMENT,POST OFFICE BOX 66524,ATLANTA,GA,30315
"SOUTH COLUMBUS COMMUNITY DEVELOPMENT, INC.",3522 Levy Rd,Columbus,GA,31903
SOUTHEAST ATLANTA RESOURCE CENTER FOR HOUSING,PO Box 170437,Atlanta,GA,30317
SOUTHERN CRESCENT HABITAT FOR HUMANITY,142 S Main St,Jonesboro,GA,30236
SOUTHWEST GA HOUSING DEVELOPMENT CORP.,1 E Harris Cir,Cuthbert,GA,39840
SUMMECH CDC,633 Pryor St SW,Atlanta,GA,30312
SUMMECH CDC,2045 Graham Cir SE,Atlanta,GA,30316
SUMMERHILL NEIGHBORHOOD DEVELOPMENT CORP,450 Capitol Ave SE,Atlanta,GA,30312
"SUPPORTIVE HOUSING, INC.","THE HEALEY BUILDING, STE 1110",ATLANTA,GA,30303
Tapestry,312 W Hill St,Decatur,GA,30030
TAPESTRY II,1173 HAWTHORNE AVENUE,COLLEGE PARK,GA,30337
"THE HUMANITIES FOUNDATION, INC.",474 Wando Park Blvd Ste 102,Mount Pleasant,GA,29464
THE PACES FOUNDATION,200 Franklin Rd,Atlanta,GA,30342
"THEN ALLIANCE OF DEKALB COUNTY, INC.",2107 N Decatur Rd,Decatur,GA,30033
TIFT COUNTY COMMUNITY DEVELOPMENT,PO Box 826,Tifton,GA,31793
TIFT COUNTY RESIDENTITAL HOUSING CORP.,PO Box 826,Tifton,GA,31793
TRINITY COMMUNITY DEVELOPMENT CORPORATION,1011 Willie Pitts Jr Rd,Albany,GA,31707
TYLER PLACE COMMUNITY DEVELOPMENT CORP,572 SIMPSON STREET SW,ATLANTA,GA,30314
UNIVERSITY COMMUNITY DEVELOPMENT CORP,CLARK ATLANTA UNIVERSITY,ATLANTA,GA,30314
VALDOSTA BLOCK CLUB/VBC,747 E. BROOKWOOD,VALDOSTA,GA,31601
VINE CITY HEALTH AND HOUSING MINISTRY,228 Maple Pl NW,Atlanta,GA,30314
"YOUTHBUILD DEKALB, INC.",4151 Memorial Dr Ste 200C,Decatur,GA,30032
ALTERNATIVE STRUCTURES INTERNATIONAL,86-660 Lualualei Homestead Rd,Waianae,HI,96792
COALITION FOR SPECIALIZED HOUSING,47 Kaapuni Dr,Kailua,HI,96734
Habitat For Humanity Hawaii Island,73-4161 Ulu Wini Pl Ste 1,Kailua Kona,HI,96740
"Habitat for Humanity Maui, Inc",970 Lower Main St,Wailuku,HI,96793
HAMAKUA HOUSING CORPORATION,PO Box 279,Paauilo,HI,96776
HAWAII HOUSING DEVELOPMENT CORP.,725 Kapiolani Blvd Ste C103,Honolulu,HI,96813
HAWAII ISLAND COMMUNITY DEVELOPMENT CORPORATION,101 Aupuni St,Hilo,HI,96720
HAWAIIAN COMMUNITY DEVELOPMENT BOARD,1188 Bishop St Ste 907,Honolulu,HI,96813
HO'OMAU KE OLA,PO Box 837,Waianae,HI,96792
Honolulu Habitat for Humanity,922 Austin Ln Ste C1,Honolulu,HI,96817
"HONOLULU MORTGAGE COMPANY, INC",201 FINANCIAL PLAZA,HONOLULU,HI,96813
"HUI KAUHALE, INC.",841 Bishop St Ste 1622,Honolulu,HI,96813
KAUAI ECONOMIC OPPORTUNITY,2804 Wehe Rd,Lihue,HI,96766
"KAUAI ECONOMIC OPPORTUNITY, INC.",PO Box 1027,Lihue,HI,96766
"Kauai Habitat for Humanity, Inc",PO Box 28,Eleele,HI,96705
LOKAHI PACIFIC,840 Alua St,Wailuku,HI,96793
MOLOKAI AFFORDABLE HOMES AND COMMUNITY DEVELOPMENT CORPORATION,PO Box 1636,Kaunakakai,HI,96748
The Mutual Housing Association of Hawaii,900 Fort Street Mall Ste 1690,Honolulu,HI,96813
WAIMANALO COMMUNITY DEVELOPMENT CORPORATION,PO Box 634,Waimanalo,HI,96795
"HUMAN SERVICES RENOVATIONS, INC.",7765 Freetown Rd,Glen Burnie,HQ,21060
ACTION PARTNERSHIP OF GREATER ST. JOSEPH,817 Monterey St,Saint Joseph,IA,64503
"AFFORDABLE HOUSING NETWORK, INC.",210 3rd St SW,Cedar Rapids,IA,52404
AREA SUBSTANCE ABUSE COUNCIL,3601 16th Ave SW,Cedar Rapids,IA,52404
CHRISTIAN ACTION INC,2012 Highland Ave,Burlington,IA,52601
"COMMUNITY ACTION HOUSING, INC.",2700 Leech Ave,Sioux City,IA,51106
COMMUNITY CORRECTIONS IMPROVEMENT ASSOCIATION,951 29th Ave SW,Cedar Rapids,IA,52404
COMMUNITY HOUSING DEVELOPMENT CORP,1251 University Ave,Des Moines,IA,50314
"COMMUNITY HOUSING INITIATIVES, INC.",PO Box 473,Spencer,IA,51301
"COMMUNITY OPPORTUNITIES, INC",603 W 8th St,Carroll,IA,51401
DES MOINES COALITION FOR THE HOMELESS,700 Euclid Ave,Des Moines,IA,50313
GARRISON COMMUNITY BETTERMENT COMMITTEE,405 Cedar St,Garrison,IA,52229
"GOLDENROD HILLS COMM SERV, INC (FOR IOWA SUBGRANTS)",,"GOLDENROD HILLS COMM SERV, INC (FOR IOWA SUBGRANTS)",IA,99999
HABITAT HOUSING ORGANIZATION,PO Box 5318,Sioux City,IA,51102
HAWKEYE AREA COMMUNITY ACTION PROGRAM,PO Box 789,Cedar Rapids,IA,52406
Hawkeye Area Community Action Program,1515 Hawkeye Dr,Hiawatha,IA,52233
"HAWKEYE AREA COMMUNITY ACTION PROGRAM, INC",1515 Hawkeye Dr,Hiawatha,IA,52233
"HOME CONNECTION, THE",700 Euclid Ave,Des Moines,IA,50313
"HOME OPPORTUNITIES MADE EASY, INC. (a/k/a HOME, INC)",1111 9th St Ste 210,Des Moines,IA,50314
Hope Community Development Association,5925 Council St NE Ste 110,Cedar Rapids,IA,52402
HUMILITY OF MARY HOUSING,1228 E 12th St,Davenport,IA,52803
INTERFAITH HOUSING LTD.,519 Tremont Ave,Davenport,IA,52803
IOWA HEARTLAND HABITAT FOR HUMANITY,803 W 5th St,Waterloo,IA,50702
"JOHN LEWIS COFFEE SHOP, INC.",1202 W 3rd St,Davenport,IA,52802
"MARGARET BOCK HOUSING, INC.",1035 3rd Ave SE,Cedar Rapids,IA,52403
"METRO AREA HOUSING PROGRAM, INC",ACRO BUILDING,CEDAR RAPIDS,IA,52401
"MID-SIOUX OPPORTUNITIES, INC.",418 S Marion St,Remsen,IA,51050
MUSCATINE'S CENTER,PO Box 618,Muscatine,IA,52761
NEIGHBORHOOD HOUSING SERVICES,1153 24th St,Des Moines,IA,50311
"Neighborhood Housing Services of Davenport, Iowa, Inc.",710 Charlotte St,Davenport,IA,52803
"NEIGHBORHOOD PLACE, INC",1128 W 6th St,Davenport,IA,52802
NORTHEAST IOWA COMMUNITY ACTION CORP,PO Box 487,Decorah,IA,52101
OPERATION THRESHOLD,300 W 3rd St,Waterloo,IA,50701
RED ROCK COMMUNITY ACTION,305 S Jefferson Way,Indianola,IA,50125
Scott County Housing Council,1212 W 3rd St,Davenport,IA,52802
"Siouxland Habitat for Humanity, IA",1150 Tri View Ave,Sioux City,IA,51103
SOLON COMMUNITY HOUSING CORPORTATIO,9113 WOODSIDE COURT,SOLON,IA,52333
SOUTHEAST IOWA COMMUNITY ACTION ORG,"RW COMMERCIAL PLAZA, SUITE 108",BURLINGTON,IA,52601
"Southwest Iowa Housing Trust Fund, Inc.",1501 SW 7th St,Atlantic,IA,50022
"SPECTRUM RESOURCES,INC.",601 Hickman Rd,Des Moines,IA,50314
STORY COUNTY COMMUNITY HOUSING CORP.,130 S Sheldon Ave,Ames,IA,50014
THE HOUSING FELLOWSHIP,322 E 2nd St,Iowa City,IA,52240
UNITED NEIGHBORS INCORPORATED,808 N Harrison St,Davenport,IA,52803
UPPER DES MOINES OPPORTUNITY,101 ROBBINS AVENUE,GRAETTINGER,IA,51342
VERA FRENCH HOUSING CORPORATION,211 E 37th St,Davenport,IA,52806
WOODBURY COUNTY C.A.A.,2700 Leech Ave,Sioux City,IA,51106
"YOUR OWN UNITED RESOURCES, INC",829 Bell Ave,Webster City,IA,50595
ADVOCATES AGAINST FAMILY VIOLENCE,PO Box 1496,Caldwell,ID,83606
AID FOR FRIENDS,920 E Clark St,Pocatello,ID,83201
ARCH COMMUNITY LAND TRUST,PO Box 1292,Ketchum,ID,83340
"AutumnGold Senior Services, Inc",813 E Fargo Ave,Nampa,ID,83687
"BARTONWYCKE DEVELOPMENT, INC.",2605 W Leonard St,Meridian,ID,83642
"BOISE NEIGHBORHOOD HOUSING SERVICES, INC",3380 W Americana Ter Ste 120,Boise,ID,83706
"BOISE VALLEY HABITAT FOR HUMANITY, INC.",PO Box 6571,Boise,ID,83707
"BONNER COMMUNITY HOUSING AGENCY, INC.",PLANNING DEPARTMENT,SANDPOINT,ID,83864
BONNER COUNTY HOMELESS TASK FORCE,212 N 4th Ave,Sandpoint,ID,83864
"CHOICE, INC.",PO Box 3021,Idaho Falls,ID,83403
"CLUB, INC.",2001 S Woodruff Ave Ste 6,Idaho Falls,ID,83404
COMMUNITY ACTION AGENCY,124 New 6th St,Lewiston,ID,83501
"COMMUNITY HOUSE, INC.",575 S 13th St,Boise,ID,83702
COMMUNITY HOUSING DEVELOPMENT ORGANIZATION,PO Box 531,Twin Falls,ID,83303
EASTERN IDAHO COMMUNITY ACTION PARTNERSHIP,375 Constitution Way,Idaho Falls,ID,83402
GREATER BOISE DEVELOPMENT CORPORATION,GREATER BOISE DEVELOPMENT CORPORATION,BOISE,ID,83707
"IDAHO DEVELOPMENT AND HOUSING ORGANIZATION (IDAHO), INC.",4110 Eaton Ave Ste A,Caldwell,ID,83607
Leap Charities,1220 S Vista Ave,Boise,ID,83705
"MERCY HOUSING NORTHWEST-IDAHO, INC.",540 N Eagle Rd Apt 117,Eagle,ID,83616
"Moscow Affordable Housing Trust, Inc.",510 W Palouse River Dr,Moscow,ID,83843
NAMPA NEIGHBORHOOD HOUSING SERVICES,704 11th Ave N,Nampa,ID,83687
NORTH IDAHO COMMUNITY ACTION AGENCY,PO Box 1300,Coeur D Alene,ID,83816
NORTH IDAHO HOUSING COALITION,370 E Kathleen Ave,Coeur D Alene,ID,83815
"OPENING DOORS, INC.",3076 N Five Mile Rd,Boise,ID,83713
POCATELLO NGHD HOUSING SERV.,355 S Arthur Ave,Pocatello,ID,83204
"SHOSHONE COUNTY HOUSING, INC.",204 Oregon St Ste S,Kellogg,ID,83837
SOUTH CENTRAL COMMUNITY ACTION PARTNERSHIP,550 Washington St S,Twin Falls,ID,83301
SOUTHEAST IDAHO COMMUNITY ACTION AGENCY,PO Box 940,Pocatello,ID,83204
ST. VINCENT DE PAUL,201 E Harrison Ave,Coeur D Alene,ID,83814
"SUPPORTIVE HOUSING AND INNOVATIVE PARTNERSHIPS, INC.",PO Box 8803,Boise,ID,83707
TURNING POINT,14033 Towers Dr,Caldwell,ID,83607
VISTA COMMUNITY HOUSING CORP.,820 Elm Dr,St Maries,ID,83861
WEST IDAHO COMMUNITY ACTION PROGRAM,PO Box 608,Payette,ID,83661
ADVOCATES FOR ACCESS,614 W Glen Ave,Peoria,IL,61614
AFFORDABLE HOUSING CONTINUUM,233 E Wacker Dr Apt 2900,Chicago,IL,60601
AFFORDABLE HOUSING DEVELOPMENT CORP CHDO,210 William St,Alton,IL,62002
AID COMMUNITY HOUSING,1135 Bowes Rd,Elgin,IL,60123
"AIDS CARE, INC",212 E Ohio St,Chicago,IL,60611
"ALTA SITA NEIGHBORS, INC.",3136 Virginia Pl,East Saint Louis,IL,62207
ALTON HOMEOWNERSHIP PROGRAM,101 E 3rd St,Alton,IL,62002
ARIEL COMMUNITY DEVELOPMENT CORPORATION,7156 W 127th St,Palos Heights,IL,60463
B.C.M.W. COMMUNITY SERVICES,909 E Rexford St,Centralia,IL,62801
BACK OF THE YARDS NEIGHBORHOOD COUNCIL,1751 W 47th St,Chicago,IL,60609
BELLEVILLE COMMUNITY DEVELOPMENT CORPORATION,PO Box 598,Belleville,IL,62222
BETHEL NEW LIFE,4950 W Thomas St,Chicago,IL,60651
"BETHEL NEW LIFE, INC.",4950 W Thomas St,Chicago,IL,60651
BETHLEHEM C.D.C.,20 E 147th St,Harvey,IL,60426
BICKERDIKE REDEV. CORP,2550 W North Ave,Chicago,IL,60647
BICKERDIKE REDEVELOPMENT CORP,2550 W North Ave,Chicago,IL,60647
BRAND NEW BEGINNINGS,103 E 58th St,Chicago,IL,60637
BREAKING GROUND,3501 W Fillmore St,Chicago,IL,60624
"BRIDGE COMMUNITIES, INC",675 Euclid Ave,Glen Ellyn,IL,60137
CARVER COMMUNITY ACTION AGENCY,PO Box 28,Galesburg,IL,61402
CASA QUERETARO,1614 SOUTH DAMEN,CHICAGO,IL,60608
CDBG OPERATIONS CORPORATION,510 N 25th St,East Saint Louis,IL,62205
CEDA NEIGHBORHOOD DEV CORP,208 S La Salle St,Chicago,IL,60604
CEDA NORTHWEST,120 W Eastman St,Arlington Heights,IL,60004
CEFS ECONOMIC OPPORTUNITY CORP,PO Box 928,Effingham,IL,62401
CENTRAL CITY HOUSING VENTURES,77 W Washington St,Chicago,IL,60602
CENTURY PLACE DEVELOPMENT CORP,208 S La Salle St,Chicago,IL,60604
CHAD,35 W Saint Charles Rd Ste C,Villa Park,IL,60181
CHAD IL,35 C W ST CHARLES ROAD,GLEN ELLYN,IL,60137
CHICAGO BETTER HOUSING ASSOC.,257 W 60th St,Chicago,IL,60621
CHICAGO CHRISTIAN INDUSTRIAL LEAGUE,123 S Green St,Chicago,IL,60607
"CHICAGO SOUTHLAND DEVELOPMENT, INC.",1655 S Union Ave,Chicago,IL,60616
Christian County Integrated Community Services,213 S Locust St,Pana,IL,62557
CHRISTIAN FAMILY CENTER CORPORATION,1800 W Bradley Ave,Peoria,IL,61606
CHRISTIAN VISION CENTER,PO Box 2022,Chicago Heights,IL,60412
CICERO AND GEORGE ELDERLY HOUSING,4800 WEST GEORGE,CHICAGO,IL,60641
CITIZEN'S LIGHTHOUSE COMMUNITY LAND TRUST,PO Box 1046,Evanston,IL,60204
CLARETIANS ASSOCIATES,9180 S Brandon Ave,Chicago,IL,60617
CLEARBROOK CORP,CLEARBROOK CENTER,ROLLING MEADOWS,IL,60008
COMMON PLACE HOUSING DEVELOPMENT,514 S Shelley St,Peoria,IL,61605
COMMUNITY CONCERNS FOR FAMILIES AND YOUTH FREEDOM,3219 Indianwood Ln,Joliet,IL,60431
COMMUNITY PARTNERS FOR AFFORDABLE HOUSING,400 Central Ave Apt 111,Highland Park,IL,60035
"COMMUNITY SUPPORT SERVICES, INC",9021 Ogden Ave,Brookfield,IL,60513
COMPREHENSIVE COMMUNITY SOLUTIONS INC,907 S Main St,Rockford,IL,61101
CORNERSTONE SERVICES INC,777 Joyce Rd,Joliet,IL,60436
CORNERSTONE SERVICES INC.,777 Joyce Road,WILL COUNTY,IL,60435
CORP OF AFFORD HOMES OF MCHENRY CO.,101 N Main St Ste 16C,Crystal Lake,IL,60014
COVENANT DEVELOPMENT CORP,1312 E 62nd St,Chicago,IL,60637
"CROSSWALK COMMUNITY ACTION AGENCY, INC.",410 W Main St,West Frankfort,IL,62896
DEBORAH'S PLACE,2822 W Jackson Blvd,Chicago,IL,60612
DUPAGE HABITAT FOR HUMANITY,213 S Wheaton Ave,Wheaton,IL,60187
DUPAGE HOMEOWNERSHIP CENTER,1333 N Main St,Wheaton,IL,60187
"DUPAGE PADS, INC",705 W Liberty Dr,Wheaton,IL,60187
EAST BLUFF NEIGHBORHOOD HOUSING SER,413 E Illinois Ave,Peoria,IL,61603
EASTER SEAL REHABILITATION CENTER,212 Barney Dr,Joliet,IL,60435
ECOLOGICAL CONSTRUCTION LABORATORY,110 S Race St,Urbana,IL,61801
"EMBARRAS RIVER BASIN AGENCY, INC.",PO Box 307,Greenup,IL,62428
EMERSON PARK DEVELOPMENT CORPORATION,PO Box 6126,East St Louis,IL,62202
EVANSTON HOUSING COALITION,607 Lake St,Evanston,IL,60201
"Evanston PSH 2215 Dempster, LLC",1607 W Howard St,Chicago,IL,60626
FORD HEIGHTS COMMUNITY SERVICE ORGANIZATION,943 E Lincoln Hwy,Ford Heights,IL,60411
FOREST PARK COMMUNITY CENTER,1017 Woodruff Rd,Joliet,IL,60432
FRANCISCAN MINISTRIES INC,26W171 Roosevelt Rd,Wheaton,IL,60187
GATEKEEPERS CDC,PO Box 226,Bethalto,IL,62010
GENESIS HOUSING DEVELOPMENT CORPORATION,607 E Oakwood Blvd,Chicago,IL,60653
"GREATER ALTON COMMUNITY DEVELOPMENT, INC.",PO Box 277,Alton,IL,62002
GROWTH INTERNATIONAL,700 S Livingston St,Springfield,IL,62703
GSW RESIDENTIAL CORPORATION,2601 W 63rd St,Chicago,IL,60629
H.O.M.E. FOUNDATION OF GRANITE CITY,PO Box 1031,Granite City,IL,62040
"HABILITATIVE SYSTEMS, INC.",415 S Kilpatrick Ave,Chicago,IL,60644
HABITAT FOR HUMANITY,5141 Bull Valley Rd,McHenry,IL,60050
HABITAT FOR HUMANITY - WILL COUNTY,200 S Larkin Ave,Joliet,IL,60436
HABITAT FOR HUMANITY (JOLIET),2112 W Jefferson St Ste 212,Joliet,IL,60435
HABITAT FOR HUMANITY CHICAGO SOUTH SUBURBS,139 W Joe Orr Rd,Chicago Heights,IL,60411
HABITAT FOR HUMANITY GREATER PEORIA AREA,804 W Main St,Peoria,IL,61606
HABITAT FOR HUMANITY LAKE COUNTY,315 N Martin Luther King Jr Ave,Waukegan,IL,60085
Habitat for Humanity of Champaign County,119 E University Ave,Urbana,IL,61801
HALSTED LIMITED PARTNERSHIP,3600 N Halsted St,Chicago,IL,60613
HAND UP DEVELOPMENT CORP,800 SW Adams St,Peoria,IL,61602
HANDS THAT HELP INC,1001 Wigton Ave,Rockford,IL,61102
"HEARTLAND HOUSING, INC.",208 S La Salle St Ste 1818,Chicago,IL,60604
HISPANIC HOUSING DEV CORP.,325 N Wells St,Chicago,IL,60654
HOMESTEAD CORPORATION,1801 Fox Dr,Champaign,IL,61820
HOUSING AUTHORITY OF HENRY COUNTY,100 Fairview Jct,Kewanee,IL,61443
"HOUSING CONTINIUM, INC.",1035 E State St,Geneva,IL,60134
"HOUSING CONTINUUM, INC",100 S Hawthorne St,Elgin,IL,60123
"HOUSING CONTINUUM, INC.",100 S Hawthorne St,Elgin,IL,60123
"HOUSING CONTINUUM, INC.",100 S Hawthorne St,Elgin,IL,60123
HOUSING OPPORTUNITY DEVELOPMENT CORP,PO Box 480,Techny,IL,60082
HOUSING SOLUTIONS INC,120 Manor Ct,Alton,IL,62002
ILLINOIS ASSISTIVE TECHNOLOGY PROGRAM,1 W Old State Capitol Plz,Springfield,IL,62701
ILLINOIS CENTER FOR CITIZEN INVOLVEMENT,44 E Main St Ste 208,Champaign,IL,61820
INDEPENDENCE CENTER,WASHINGTON STREET,WAUKEGAN,IL,60085
INTERFAITH HOUSING DEVELOPMENT CORPORATION,2101 W 63rd St,Chicago,IL,60636
INTERFAITH HOUSING DEVELOPMENT OF CHICAGO,219 W Chicago Ave Ste 400,Chicago,IL,60654
INTERFAITH ORG PROJECT OF GREATER CHICAGO,1617 W Washington Blvd,Chicago,IL,60612
"JOSEPH CORPORATION OF ILLINOIS, INC.",32 S Broadway,Aurora,IL,60505
JUSTINE PETERSON HOUSING & REINVESTMENT CORP,120 N Main St,Edwardsville,IL,62025
KANKAKEE NEIGHBORHOOD HOUSING,1006 E Maple St,Kankakee,IL,60901
L.U.C.H.A.,2750 W North Ave,Chicago,IL,60647
LAKE COUNTY RESIDENTIAL DEVELOPMENT CORP,3409 Crescent Ave,Gurnee,IL,60031
LATIN UNITED COMMUNITY HOUSING (L.U.C.H.A),3541 W North Ave,Chicago,IL,60647
LAWNDALE CHRISTIAN DEVELOPMENT CORP,3848 W Ogden Ave,Chicago,IL,60623
LITTLE EGYPT HOUSING DEVELOPMENT CORP,601 Washington Ave,Cairo,IL,62914
Macoupin Housing Services,760 Anderson St,Carlinville,IL,62626
MADISON COUNTY MENTAL HEALTH,2615 Edwards St,Alton,IL,62002
MAYFIELD LIMITED PARTNERSHIP,208 S La Salle St Ste 1818,Chicago,IL,60604
MCHENRY COUNTY COMMUNITY HOMES,4001 W Dayton St,McHenry,IL,60050
MERCY HOUSING LAKEFRONT,247 S State St,Chicago,IL,60604
METRO CENTRE FOR LIFE MANAGEMENT,50 Northgate Industrial Dr,Granite City,IL,62040
METRO EAST CHURCH,771 Vogel Pl,East Saint Louis,IL,62205
METROPOLITIAN HOUSING DEVELOPMENT CORP,8 S Michigan Ave,Chicago,IL,60603
"MID CENTRAL COMMUNITY ACTION, INC.",1301 W Washington St,Bloomington,IL,61701
MIDWEST CORRECTIONAL SERVICES,310 S Avon St,Rockford,IL,61102
MISSION METAMORPHOSIS,1165 N Milwaukee Ave,Chicago,IL,60642
MT SINAI DEVELOPMENT CORPORATION,1200 Saint Louis Ave,East St Louis,IL,62201
NEAR WEST SIDE  CDC,216 S Hoyne Ave,Chicago,IL,60612
NEAR WESTSIDE COMMUNITY DEV CORP,216 S Hoyne Ave,Chicago,IL,60612
NEAR WESTSIDE RESTORATION/PRESERVATION SOCIETY,451 W Macon St,Decatur,IL,62522
"Nehemiah Expansion, Inc.",2208 E Kansas St,Springfield,IL,62703
NEIGHBORHOOD HOUSING DEVELOPMENT CORP,PO Box 1491,Decatur,IL,62525
NEIGHBORHOOD HOUSING LAKE COUNTY,900 10th St,Waukegan,IL,60085
NEIGHBORHOOD HOUSING SERVICES OF FREEPORT,216 W Main St,Freeport,IL,61032
NEIGHBORS UNITED FOR PROGRESS,1220 Centreville Ave,Belleville,IL,62220
NEW BIRTH COMMUNITY CARE CENTER,1500 W 59th St,Chicago,IL,60636
NEW BOSTON APARTMENTS,418 19th St,Rock Island,IL,61201
NEW CITIES COMMUNITY DEVELOPMENT,400 E Sibley Blvd,Harvey,IL,60426
NEW MOMS HOUSING DEVELOPMENT LLC,5317 W Chicago Ave,Chicago,IL,60651
NHS REDEVELOPMENT CORP,747 N May St,Chicago,IL,60642
NILES TOWNSHIP SHELTERED,9005 POTTAWAHAMI,SKOKIE,IL,60076
NORTH AND PULASKI ELDERLY HOUSING,3939 W North Ave,Chicago,IL,60647
NORTH RIVER COMMISSION,4745 N Kedzie Ave,Chicago,IL,60625
NORTHPOINTE ACHIEVEMENT  CENTER,3441 Sheridan Rd,Zion,IL,60099
NORTHSIDE HOUSING SERVICE,800 NE Madison Ave,Peoria,IL,61603
NORTHWESTERN IL COMM ACTION AGENCY,103 N Chicago Ave,Freeport,IL,61032
"OLD NEIGHBORHOOD REHAB., INC.",925 N 7th St,Springfield,IL,62702
PARTNERS IN COMMUNITY BUILDINGS,3424 S State St,Chicago,IL,60616
PEOPLE'S REINVESTMENT,342 S Laramie Ave,Chicago,IL,60644
PEOPLES HOUSING,1607 W Howard St,Chicago,IL,60626
